pk_id_deliverables_info,version,date_from,date_to,deliv_id,"title","description","deliverable_type","dissemination_URL","DOI"
0,1,,,,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,187,"Forecast platform made operational for Colombia ","The platform has been scaled to cover 32 localities across 9 departments of Colombia, targeting most maize, rice and bean growing areas. Maize and rice models are calibrated and incorporated into the platform, providing real-time execution of seasonal forecasts. 


","Data portal/Tool/Model code/Computer software","https://pronosticos.aclimatecolombia.org/Clima",
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,366,"Using emergency drills for agricultural drought response: a case study in Guatemala ","Drills are an important element of disaster management to increase preparedness and reduce risk of real‐time failure. This case study evaluates how drills inform institutional responses to drought in Guatemala, explores how drills can help to detect issues in emergency response to foster an institutional focus on improvements in preparedness. ","Journal Article (peer reviewed)","https://cgspace.cgiar.org/handle/10568/99311",
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,432,"Kenya Dairy NAMA MRV system: guidelines for users.","In january 2018 a baseline survey following the Gold Standard smallholder dairy methodology has been implemented. The survey, originally planned for 2017, was postponed due to the unsteady political situation in Kenya. A descriptive report of the baseline data including brief section on the methodology will be finalized. ","Research workshop report",,
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,441,"Learning Groups and Knowledge Generation on Climate Resilient Agriculture","Documentation of methodological approaches and processes involved in generating knowledge on CSA and community based adaptation using participatory approaches .","Discussion paper/Working paper/White paper","https://drive.google.com/open?id=1-jpv57lljwHE9Ado-FAs1hu0zgJGtSqx",
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,523,"Automated agricultural climate forecasting interface for rice and maize production.","The automation of high-quality climate forecasting and the assessment thereof. Rigorous and replicable crop models to estimate yield under multiple forecast scenarios. Understanding of next user requirements, socialization of results and use thereof with stakeholders. Presentation of the generated information to stakeholders in usable and context appropriate format.","Website","https://pronosticos.aclimatecolombia.org/",
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1863,"1.2 Maize crop nutrient input requirements for food security in sub-Saharan Africa","The generic method has been developed and applied to maize in nine countries in SSA. Results are publicly available on www.yieldgap.org; a report was submitted in 2017. Corrected proofs of the publication in Global Food Security are available, but not yet available online.","Journal Article (peer reviewed)",,
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1864,"1.3 Maps of nutrient gaps for different percentages of yield gap closure for project countries","These maps with minimum N input requirements and P and K uptake requirements have been completed in 2017, not only for the three project countries, but also for Burkina Faso, Ghana, Mali, Nigeria,  Uganda and Zambia. See www.yieldgap.org","Database/Dataset/Data documentation","www.yieldgap.org",
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1993,"Climate-related risk maps and adaptive cropping calendar for Vietnam","The working paper introduces a set of climate-related risk maps for a normal and severe ENSO, which were developed in a participatory approach by CCAFS experts and local officials. The steps to develop these risk maps are also documented as a manual/guideline for local authorities and DRR practitioners.","Discussion paper/Working paper/White paper","http://hdl.handle.net/10568/90253",
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2085,"LAM 2018 Monitoring Summary: CSA Adoption and perceived effects.","This progress report summarizes the key results from the CSV monitoring undertaken in 2018. It focuses on the levels of CSA implementation in the 4 LAM Climate-Smart villages (Colombia, Guatemala, Honduras and Nicaragua) and gender-disaggregated perceived effects of CSA practices on households livelihoods and gender dimensions.
","Database/Dataset/Data documentation","https://cgspace.cgiar.org/handle/10568/100235",
